id,last_name,gender,university name,country,latitude,longitude,age
165,Bilofsky,M,Fernuniversität Gesamthochschule Hagen,Kyrgyz,43.382,-94.171,25
166,Berard,M,St. Norbert College,Papiamento,40.8,-95.765,19
167,Buckerfield,F,Linguistic University of Nizhny Novgorod,Indonesian,41.624,-91.271,35
168,Stidston,M,Sri Sathya Sai Institute of Higher Learning,Tswana,43.939,-94.906,30
169,Rablin,F,Universidad de Extremadura,Kannada,42.532,-92.968,28
170,Livzey,F,Armstrong Atlantic State University,Spanish,42.163,-94.484,29
171,Kira,F,Celal Bayar University,Tetum,42.167,-90.219,34
172,Edowes,M,Universidad Tecnológica del Centro,Japanese,42.183,-95.193,18
173,Ballentime,M,Indiana University - Northwest,Lithuanian,40.436,-91.39,27
174,Harland,F,Damghan University of Basic Sciences,Hebrew,42.822,-92.785,21
175,Bartomieu,M,University of Glamorgan,Marathi,42.96,-91.08,22
176,Harriman,M,Nazarene Bible College,Romanian,42.618,-93.452,18
177,Ivashkin,F,University of Technology and Life Sciences,Ndebele,42.829,-92.381,35
178,Pariss,M,Ecole Normale Supérieure de Cachan,Assamese,42.044,-90.224,23
179,Milland,M,Université des Sciences Sociales (Toulouse I),Quechua,41.887,-95.662,26
180,Liptrot,F,Tokyo Engineering University,Ndebele,43.428,-94.285,25
181,Alpe,F,Yildirim Beyazit University,Korean,41.878,-91.869,25
182,Wyse,F,Hosei University,Chinese,40.24,-90.009,26
183,Grubbe,F,Dutch University Institute for Art History (DUIA),Yiddish,42.51,-94.197,34
184,Old,M,Ecole des Hautes Etudes Commerciales du Nord,Dutch,40.619,-93.352,25
185,Colquitt,M,Universidad Nacional de Lomas de Zamora,Danish,41.035,-95.038,26
186,Lawman,M,Modern Sciences & Arts University,Somali,40.381,-92.753,28
187,Seignior,M,Fine Arts Academy in Warsaw,Portuguese,40.101,-92.448,18
188,Spriggin,M,Glion Institute of Higher Education,English,43.483,-94.002,25
189,McCreary,M,European University Institute,Pashto,42.879,-94.746,35
190,Pinnegar,F,"Arizona State University, Tempe Campus",Kazakh,43.23,-91.67,29
191,Dadge,F,Tohoku Fukushi University,Quechua,41.694,-90.594,19
192,Gorries,F,Nevsky Institute of Language and Culture,Ndebele,43.662,-94.176,26
193,Largan,F,Emmaus Bible College,Gagauz,41.886,-90.639,21
194,Rennox,F,University of Alabama - Birmingham,Sotho,42.234,-90.888,24
195,Lane,M,Universidad Tecnológica San Antonio de Machala,Swahili,41.928,-92.616,21
196,Quilliam,F,University of South Alabama,Moldovan,43.612,-92.825,22
197,Helks,F,Nagoya Institute of Technology,Kashmiri,43.313,-95.145,19
198,Grendon,M,Heriot-Watt University,English,43.511,-91.902,20
199,Houlston,F,Shiga University,Spanish,40.619,-92.957,32
200,McCarthy,M,Isra University,Hiri Motu,43.938,-94.573,34
201,Ruckert,M,Reformed Theological Academy of Debrecen,Macedonian,41.547,-94.587,23
202,Pevsner,F,Kirchliche Hochschule Bethel,Thai,40.025,-91.977,34
203,Rymell,M,Universidad Intercontinental,Montenegrin,43.547,-92.656,30
204,Santon,M,Maejo University,Catalan,42.296,-95.612,19
205,Jerzyk,M,Hong Kong Shue Yan College,Thai,42.17,-92.99,29
206,Mebs,M,Harran University,Aymara,40.577,-91.815,25
207,Pieracci,M,Vesalius College,Spanish,41.785,-92.889,24
208,Duddy,F,Soka University of America,Afrikaans,40.078,-92.786,25
209,Gridon,F,Atlanta College of Art,Azeri,40.669,-92.796,33
210,Antonazzi,M,Omsk State Agrarian University,Italian,42.906,-95.876,32
211,Grishanin,F,University of Rajshahi,Tsonga,43.679,-92.418,34
212,Lafrentz,F,Naif Arab University for Security Sciences,Portuguese,41.282,-92.866,33
213,Bafford,F,IBAIS University,Armenian,41.818,-94.036,18
214,Gookey,F,Melaka Islamic University College,Czech,43.044,-93.912,29
215,Costanza,M,Universidad Agroforestal Fernando A.Meriño,Macedonian,40.999,-90.813,26
216,Coyle,M,Hobe Sound Bible College,Māori,43.111,-96.918,34
217,Pascall,M,Universidad Nacional de Quilmes,Malayalam,40.958,-92.801,30
218,Corrie,M,Universidad Iberoamericana,Romanian,43.15,-96.735,28
219,Cahan,M,"University of Wales, Swansea",Ndebele,42.231,-95.196,21
220,Bloomer,F,Atyrau State University,Irish Gaelic,40.715,-91.711,30
221,Brixey,M,Honam University,French,41.182,-92.851,21
222,Milington,M,Trinity University School of Medicine,Azeri,41.988,-94.639,35
223,Baglow,M,Louisiana Tech University,Lithuanian,43.236,-92.963,34
224,Tschierasche,F,Holy Cross College,Mongolian,40.799,-92.343,22
225,Bonham,F,Baylor College of Medicine,Maltese,40.412,-95.002,29
226,Deener,F,Institut Catholique d'Arts et Métiers Nantes,Northern Sotho,42.229,-95.21,21
227,Veale,F,University Goce Delcev,Northern Sotho,42.365,-95.406,26
228,Morena,F,Universidad Adolfo Ibáñez,Danish,40.442,-90.683,22
229,Blackett,M,Universidad Luterana Salvadorena,Dzongkha,41.854,-96.506,31
230,Mabbott,F,Universidad de Ciencias Empresariales y Sociales,Czech,41.522,-95.248,27
231,Woodcroft,M,Kharkiv National University of Radio Electronics,Haitian Creole,41.583,-95.906,29
232,Raise,F,Moore College of Art and Design,Azeri,40.487,-94.164,18
233,Jorden,M,Palawan State University,Tajik,40.428,-95.035,24
234,Shropshire,F,2nd Military Medical University,Punjabi,41.773,-96.907,23
235,Lodeke,M,Ecole Supérieure des Sciences Economiques et Commerciales,Oriya,40.432,-90.009,18
236,Hemerijk,M,Hanoi University of Mining and Geology,Azeri,40.344,-95.84,25
237,Kitchenham,M,Duke University,Gujarati,43.771,-91.058,21
238,Leddie,F,Université Amar Telidji,Danish,42.736,-93.978,28
239,Glanvill,F,American Public University,Kyrgyz,40.284,-91.656,28
240,Hugenin,F,Catholic University of Pusan,Mongolian,40.23,-91.337,21
241,Crowdy,F,Sistan & Balouchestan University,Dari,42.407,-92.54,27
242,Ghirardi,M,University of Liberal Arts,Dzongkha,40.454,-95.779,28
243,Keddey,M,Centre Universitaire d'Oum El Bouaghi,Kannada,40.757,-95.476,22
244,Chell,M,Lviv Medical University,Amharic,42.052,-91.846,30
245,Durnell,M,Universidad de Lima,Swahili,42.276,-93.642,23
246,Lowre,F,Makhanlal Chaturvedi National University of Journalism and Communication,Yiddish,40.84,-92.209,33
247,McCullough,F,Johns Hopkins University,Danish,42.104,-94.691,33
248,Pembry,M,Uzhgorod National University,Icelandic,43.54,-92.193,23
249,Morillas,F,Universidade Estadual de Maringá,Danish,40.197,-96.073,23
250,Moukes,M,Mansoura University,New Zealand Sign Language,43.594,-93.047,22
251,Copcote,F,Hirosaki Gakuin University,Tswana,43.279,-95.056,18
252,Copas,F,Lampang Vocational College   ,Korean,42.863,-91.723,22
253,Jouannot,F,Tama Art University,Tswana,41.124,-95.693,20
254,Kenealy,F,Ecole Nationale Supérieure des Industries Chimiques de Nancy,Dhivehi,41.383,-91.854,28
255,Skones,F,Samara State Aerospace University,Croatian,41.595,-93.91,29
256,Vannozzii,M,Dominican College,Afrikaans,41.846,-95.166,32
257,Francescozzi,F,Ankara University,Swahili,42.419,-94.448,29
258,Schirak,F,"Mahatma Gandhi University, Kerala",Dzongkha,43.431,-92.321,35
259,Meindl,M,Pratt Institute,Danish,41.681,-95.332,20
260,Manvell,F,Novgorod State University,Marathi,40.93,-94.906,23
261,Londing,M,Kongju National University,Hindi,40.887,-93.928,30
262,Noblet,F,South China Normal University,Arabic,43.521,-96.443,26
263,Spellesy,M,Lancaster Bible College,Tok Pisin,43.568,-95.162,27
264,Scantleberry,M,Jadavpur University,Moldovan,43.087,-95.023,19
265,Chastagnier,F,Pacific Lutheran University,Moldovan,40.016,-90.5,20
266,Dorset,M,VanderCook College of Music,Malay,42.294,-91.775,19
267,Thoumas,F,Central State University,Catalan,40.556,-94.073,30
268,Moorerud,M,Colegio de Estudios Superiores de Administración (CESA),Polish,42.665,-93.824,22
269,Priestnall,M,FTMS Global Academy,Italian,43.519,-94.967,29
270,Barrable,M,Cranfield University,Māori,43.158,-95.206,27
271,Scotchforth,F,Moscow State Institute of Steel and Alloys,Khmer,42.845,-92.489,21
272,Bawcock,F,"DeVry Institute of Technology, Decatur",Indonesian,40.149,-94.094,22
273,Delhanty,F,Fachhochschulstudiengänge Krems IMC,Guaraní,41.552,-95.117,20
274,Grove,M,Universidad Pontificia Comillas,Māori,43.764,-95.25,27
275,Burkart,M,Southwestern Assemblies of God University,Dutch,42.013,-91.151,33
276,Asbrey,M,Communication University of China,Tsonga,42.132,-92.521,19
277,Stork,F,State University of New York College at Old Westbury,Swahili,41.199,-96.026,29
278,Hush,M,St. Petersburg State Agrarian University,Oriya,43.455,-92.597,35
279,Shackleford,F,Roberts Wesleyan College,German,41.484,-91.877,27
280,Rawlcliffe,F,Aichi Prefectural University of Fine Arts & Music,Zulu,42.571,-93.908,34
281,Heindrick,M,"Maharaja Ganga Singh University, Bikaner",Bengali,42.143,-95.563,29
282,Mainz,M,European University Cyprus,Indonesian,43.996,-94.883,30
283,Dunkerly,F,Technological Education Institute of Larissa,Afrikaans,43.943,-90.917,27
284,Scholefield,F,Villanova University,Zulu,42.257,-90.196,24
285,Crady,F,Ecole Nationale Supérieure des Arts et Industries de Strasbourg,Quechua,40.184,-90.563,31
286,Munford,F,Greenwich University,Aymara,40.31,-93.75,29
287,Gaynesford,F,The Tulane University of New Orleans,Guaraní,41.717,-96.859,20
288,Mirfield,M,Cukurova University,French,43.4,-94.926,19
289,Tendahl,F,Ibra College of Technology,Khmer,43.861,-93.234,27
290,Lynthal,M,Université de Nice-Sophia Antipolis,Macedonian,41.722,-90.358,24
291,Dowty,M,Middle East Technical University,Malagasy,40.32,-94.632,32
292,Vinau,M,"Universidad del Norte ""Santo Tomás de Aquino""",Marathi,40.376,-93.802,31
293,Duigan,F,Botho University,Tetum,40.281,-94.543,28
294,Giovannazzi,M,Augustana College,Haitian Creole,41.034,-93.356,20
295,Jedrys,M,Universidad de Córdoba,Bislama,43.094,-91.813,28
296,McTeggart,F,Maakhir University,Gujarati,43.953,-90.118,31
297,Tremelling,M,Marist College,Malayalam,43.82,-96.256,26
298,Silk,M,Richmond University - The American International University in London,Burmese,43.624,-93.152,23
299,Delmage,M,Royal Danish Academy of Music,Czech,40.523,-90.806,31
300,Chapple,F,Ain Shams University,Norwegian,40.872,-91.2,25
301,Gabby,M,University of Hull,Swati,40.678,-91.51,21
302,Fouracre,F,Southwest Petroleum University,Hebrew,40.672,-94.223,31
303,Rountree,F,Aktau State University,Kyrgyz,41.721,-90.488,30
304,Brundale,M,Targu-Mures University of Theatre,Quechua,40.526,-90.298,31
305,Gideon,F,Isfahan University of Technology,Latvian,42.221,-90.265,32
306,Dellenbrok,F,Capitol University,Croatian,40.707,-91.926,30
307,Dopson,M,American University in Cairo,Tajik,40.994,-90.896,21
308,Coyte,M,Umaru Musa Yar'Adua University ,Arabic,43.514,-94.432,24
309,Zimmermanns,F,Agricultural University of Poznan,Mongolian,42.129,-93.718,34
310,McGahy,M,Technical Institute of Dubnica in Dubnica nad Váhom,Irish Gaelic,42.148,-92.983,21
311,Redmell,F,St. Joseph's College,Arabic,43.15,-94.19,35
312,Tottman,M,PSG College of Technology,Northern Sotho,40.833,-94.597,27
313,Daniello,F,Politécnico Grancolombiano - Institución Universitaria,New Zealand Sign Language,42.305,-96.801,26
314,Corsar,F,STMIK AMIKOM Yogyakarta,Polish,42.102,-90.941,30
315,Polhill,M,Baker College of Port Huron,Tamil,40.986,-94.2,18
316,Kuhle,M,Gemological Institute of America,Croatian,43.574,-95.272,19
317,MacGillespie,F,Warnborough University,Malay,41.549,-90.587,33
318,Swafield,F,University Of Dubai,Māori,41.758,-90.203,24
319,Olney,M,Warner Pacific College,Haitian Creole,43.38,-91.931,23
320,Petracci,F,Université de Sidi-Bel-Abbès (Djillali Liabès),Catalan,41.914,-92.953,32
321,Wilhelmy,M,Westfälische Wilhelms-Universität Münster,Macedonian,42.549,-91.344,31
322,Casperri,F,Phillips Graduate Institute,Japanese,43.683,-96.7,23
323,Alliker,M,World Maritime University,Bislama,43.943,-90.357,28
324,Fullicks,M,Denver Technical College,Spanish,41.489,-90.898,26
325,Sines,F,National University,Norwegian,42.289,-92.439,32
326,Larderot,M,Colorado State University,Azeri,41.062,-96.565,32
327,Klement,M,Universidade do Estado de Santa Catarina,Macedonian,41.218,-96.475,33
328,Pellett,F,Osaka Prefectural University,Kannada,40.008,-92.852,33
329,Getcliff,F,"Institute of Teachers Education, Darul Aman",Catalan,42.427,-91.472,23
330,McCandie,M,Knowledge International University,Bislama,40.656,-90.462,19
331,Cornill,F,Himachal Pradesh University,Albanian,42.582,-92.909,35
332,Jickells,M,Champlain College,Italian,42,-92.015,18
333,Ree,F,Middlebury College,Dari,41.258,-95.53,30
334,Janeway,M,"Institute of Education, University of London",Croatian,43.985,-96.258,20
335,Geering,F,National University of Modern Languages,Tamil,40.937,-91.788,23
336,Olechnowicz,M,"University of California, Hastings College of Law",Pashto,43.903,-93.116,21
337,Naseby,M,Hahnamann Honoeopathic Medical College,Kazakh,40.635,-92.274,24
338,Blackborough,F,"Academy of Performing Arts, Film and TV Fakulty",Irish Gaelic,43.508,-90.031,19
339,Godlonton,F,Universidad Cardenal Herrera-CEU,Yiddish,40.599,-90.501,20
340,Wildes,M,University of Neuchatel,Kurdish,41.843,-94.627,26
341,Nafziger,F,King Saud bin Abdulaziz University for Health Sciences ,Gujarati,42.714,-96.434,20
342,Treacher,F,Polytechnic Institute of Bari,Belarusian,42.368,-94.65,33
343,Ellingham,M,Universidade do Rio Grande,Armenian,41.172,-93.771,28
344,Jory,M,Universidad Nacional de Mar del Plata,Danish,40.328,-95.153,28
345,Huegett,M,Universidade Estácio de Sá,Kurdish,41.373,-95.782,33
346,Leneve,M,Heriot-Watt University,Albanian,42.593,-93.007,34
347,Pesic,F,Universidad del Desarrollo,Aymara,42.683,-96.771,23
348,Killik,M,"Islamic Azad University, North Tehran",Hiri Motu,42.869,-95.177,30
349,Cawthorne,F,Himachal Pradesh University,Azeri,40.39,-91.942,22
350,Nesbit,F,Fujita Health University,Persian,40.475,-90.186,21
351,Stickins,M,Escuela Bancaria y Comercial,Zulu,41.801,-90.546,22
352,Iliffe,M,Scandinavian Art and Business Institute,Telugu,42.528,-93.139,26
353,Le Estut,M,Universidade de Pernambuco,Khmer,43.094,-96.044,31
354,Helder,F,Sumgait State University,Luxembourgish,42.306,-96.055,34
355,Sapena,F,Mansfield University of Pennsylvania,Tok Pisin,41.816,-90.002,19
356,Armatys,F,Military Technical College,Thai,42.872,-92.125,23
357,Severwright,F,Instituto Politécnico de Lisboa,Assamese,40.68,-93.689,33
358,Rablan,M,Seonam University,Dzongkha,40.058,-94.542,18
359,O'Shiel,F,Music Academy in Cracow,Papiamento,43.183,-96.429,35
360,Mewis,F,Chosun University,Thai,41.12,-96.823,23
361,Witherbed,M,South Eastern University of Sri Lanka,Assamese,42.502,-93.728,23
362,Trippett,M,Kaboora Institute of Higher Education,Montenegrin,40.913,-91.153,32
363,Feathersby,F,University of Groningen,Sotho,43.568,-91.692,31
364,Garter,F,Albany State University,New Zealand Sign Language,42.865,-96.758,34
365,Tripcony,M,St. Petersburg State University of Aerospace Instrumentation,Malay,41.153,-93.431,30
366,Porter,M,Lincoln Memorial University,Assamese,40.039,-95.26,28
367,Pointin,M,Universitat Oberta de Catalunya,Croatian,42.596,-91.617,26
368,Rebert,M,Yanbu University College,Nepali,43.589,-95.354,27
